season,date,match_type,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match,venue,city
2024,2024-04-07,League,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,bat,Lucknow Super Giants,runs,33.0,Yash Thakur,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
2024,2024-04-08,League,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,7.0,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2024,2024-04-10,League,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,3.0,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",Jaipur
2024,2024-04-12,League,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Delhi Capitals,wickets,6.0,Kuldeep Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
2024,2024-04-14,League,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,20.0,M Pathirana,"Wankhede Stadium, Mumbai",Mumbai
2024,2024-04-17,League,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,RR Pant,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2024,2024-04-19,League,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,8.0,KL Rahul,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
2024,2024-04-20,League,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,67.0,TM Head,"Arun Jaitley Stadium, Delhi",Delhi
2024,2024-04-21,League,Punjab Kings,Gujarat Titans,Punjab Kings,bat,Gujarat Titans,wickets,3.0,R Sai Kishore,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali
2024,2024-04-23,League,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,6.0,MP Stoinis,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2024,2024-04-24,League,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Delhi Capitals,runs,4.0,RR Pant,"Arun Jaitley Stadium, Delhi",Delhi
2024,2024-04-27,League,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,10.0,J Fraser-McGurk,"Arun Jaitley Stadium, Delhi",Delhi
2024,2024-04-28,League,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,9.0,WG Jacks,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
